SongName,Link,Genre
Wakeup,https://www.youtube.com/watch?v=wauzrPn0cfg,Funk Metal
Still DRE,https://www.youtube.com/watch?v=_CL6n0FJZpk,Rap
Auf Geht's - Ab Geht's,https://drive.google.com/file/d/0BzrSbYUBjyaZVl9SYy01RkdENEk/view?usp=sharing,Instrumental;percussion
